ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,
3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,1164,16,1098,28,22,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,1769,23,1686,19,41,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,2222,65,2069,24,64,
3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,2959,49,2770,60,80,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,2936,60,2738,46,92,
3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,1405,19,1309,35,42,
3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,1994,29,1863,30,72,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,2562,55,2358,43,106,
3175101003,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,1213,14,1141,10,48,
3101011003,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU HARAPAN,55,0,52,3,0,
3101011002,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU KELAPA,85,2,82,0,1,
3101011001,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU PANGGANG,202,0,197,2,3,
3101021003,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU PARI,63,0,62,0,1,
3101021002,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU TIDUNG,147,0,143,3,1,
3101021001,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA,37,0,36,0,1,
3174071007,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,413,8,388,5,12,
3175021001,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,1338,36,1218,25,59,
3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,2954,52,2778,55,69,
3174041004,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,1919,55,1776,35,53,
3175091005,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,1415,21,1331,28,35,
3172031006,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,1365,29,1289,19,28,
3172031004,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,1189,26,1135,19,9,
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,358,3,337,7,11,
3173011003,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,1854,51,1684,35,84,
3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,661,16,619,8,18,
3174081003,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,1249,29,1165,15,40,
3175061002,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,626,6,597,11,12,
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,1905,39,1768,36,62,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,1788,27,1673,26,62,
3173041010,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,127,2,120,2,3,
3172041006,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,1215,16,1128,18,53,
3174071004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,224,4,209,6,5,
3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,1377,25,1296,29,27,
3172041007,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,2132,56,1975,42,59,
3172041005,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,1084,7,1028,29,20,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,476,5,431,1,39,
3171041001,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,513,4,496,10,3,
3171031004,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,1459,26,1354,32,47,
3174021001,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,339,3,325,4,7,
3175101005,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,904,7,844,8,45,
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,1285,27,1201,20,37,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,1959,42,1768,31,118,
3174091002,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,2464,32,2290,51,91,
3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,1173,25,1080,14,54,
3173051002,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,1598,25,1454,29,90,
3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,1552,32,1464,20,36,
3171031007,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,1270,21,1183,25,41,
3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,1156,26,1064,14,52,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,3246,60,3053,68,65,
3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,3114,73,2895,63,83,
3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,1487,35,1365,36,51,
3173031001,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,721,23,675,13,10,
3173041001,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,440,8,404,16,12,
3173041004,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,884,28,802,17,37,
3171081004,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,1168,28,1090,29,21,
3173031004,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,539,18,498,10,13,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,1801,32,1694,36,39,
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1422,34,1328,31,29,
3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,949,28,877,22,22,
3172021001,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,1448,26,1351,32,39,
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,1612,23,1473,24,92,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,1092,23,1028,17,24,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,2200,66,2024,37,73,
3174031004,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,1334,18,1238,21,57,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,1311,24,1222,27,38,
3172031005,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,1225,28,1164,21,12,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,2271,51,2129,53,38,
3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,992,11,940,20,21,
3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,1617,29,1462,33,93,
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,1836,32,1642,43,119,
3175011002,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,1190,15,1122,31,22,
3171031008,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,1165,23,1068,25,49,
3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,1590,20,1520,22,28,
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,1448,42,1318,29,59,
